               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.2009,              6.3603,              4.4704,          3.3238e-05,           0.0031619,          3.4005e-05,          9.1547e-06,                   0,                   0,                   0,            0.070048,            0.003328,            0.003328
                   1,              4.1914,               5.204,              3.3536,            0.052666,            0.060257,           0.0036866,           0.0015396,                   0,                   0,                   0,            0.039982,           0.0065954,           0.0065954
                   2,              3.3993,              4.6758,              2.7423,           0.0063519,             0.16844,            0.012151,           0.0051222,                   0,                   0,                   0,           0.0098501,           0.0097968,           0.0097968
                   3,              3.0447,              4.3793,              2.4338,             0.55137,            0.033026,            0.024317,            0.011808,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.8757,              4.1683,              2.2731,             0.55238,            0.062551,             0.03643,            0.019505,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.7616,              4.0452,              2.1922,              0.5489,            0.043896,             0.04334,            0.025078,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.6804,              3.9285,              2.1355,             0.40265,            0.074757,            0.054549,            0.029988,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.6231,              3.8341,              2.0847,             0.35828,            0.087529,            0.058478,            0.031625,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.5822,              3.7577,              2.0471,             0.37941,            0.092424,            0.074783,            0.042296,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.5508,              3.6891,              2.0185,             0.46348,            0.080657,            0.065503,            0.036439,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.5095,              3.6328,              1.9861,             0.35994,            0.095087,             0.07247,            0.040656,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.4849,              3.5715,              1.9692,             0.34889,             0.11086,            0.078366,            0.042379,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.4654,              3.5347,               1.951,             0.32381,             0.13099,            0.093654,            0.051751,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.4334,              3.4925,              1.9277,             0.27525,             0.12726,            0.087989,            0.046534,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.4164,              3.4712,              1.9219,             0.32078,             0.11916,            0.090237,            0.049974,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.3961,              3.4095,              1.9024,             0.34115,              0.1407,             0.11316,            0.063535,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
