Class,Images,Instances,P,R,mAP50,mAP50-95,
all,400,3113,0.419,0.31,0.312,0.211,
person,400,985,0.649,0.547,0.58,0.364,
bicycle,400,47,0.392,0.191,0.151,0.0866,
car,400,165,0.522,0.297,0.304,0.169,
motorcycle,400,14,0.529,0.5,0.499,0.265,
airplane,400,9,0.436,0.667,0.673,0.437,
bus,400,14,0.685,0.714,0.765,0.643,
train,400,13,0.522,0.462,0.563,0.361,
truck,400,32,0.357,0.219,0.241,0.173,
boat,400,47,0.329,0.191,0.154,0.0894,
trafficlight,400,42,0.361,0.119,0.143,0.0812,
firehydrant,400,5,0.365,0.2,0.321,0.228,
stopsign,400,6,0.238,0.167,0.167,0.167,
parkingmeter,400,3,1,0,0.146,0.105,
bench,400,33,0.448,0.182,0.222,0.165,
bird,400,25,0.27,0.08,0.079,0.0425,
cat,400,13,0.653,0.692,0.631,0.445,
dog,400,11,0.427,0.61,0.593,0.484,
horse,400,27,0.337,0.444,0.377,0.238,
sheep,400,8,0.169,0.625,0.453,0.349,
cow,400,30,0.297,0.367,0.311,0.22,
elephant,400,23,0.431,0.391,0.518,0.413,
bear,400,4,0.522,1,0.825,0.791,
zebra,400,28,0.706,0.821,0.814,0.566,
giraffe,400,15,0.71,0.653,0.716,0.585,
backpack,400,42,0,0,0.0657,0.0224,
umbrella,400,49,0.442,0.327,0.275,0.177,
handbag,400,34,0,0,0.0348,0.0138,
tie,400,16,0.415,0.312,0.324,0.216,
suitcase,400,23,0.247,0.13,0.135,0.0828,
frisbee,400,14,0.22,0.143,0.107,0.0608,
skis,400,19,0.499,0.579,0.48,0.28,
snowboard,400,3,0.868,0.333,0.348,0.114,
sportsball,400,13,0.345,0.308,0.291,0.205,
kite,400,63,0.368,0.286,0.261,0.133,
baseballbat,400,14,0.34,0.286,0.339,0.187,
baseballglove,400,20,0.153,0.05,0.098,0.0609,
skateboard,400,24,0.333,0.333,0.266,0.136,
surfboard,400,21,0.247,0.219,0.164,0.0827,
tennisracket,400,10,0.16,0.2,0.224,0.117,
bottle,400,89,0.423,0.18,0.191,0.138,
wineglass,400,18,0.695,0.256,0.342,0.203,
cup,400,83,0.318,0.229,0.181,0.112,
fork,400,12,0,0,0.0443,0.0198,
knife,400,36,0.326,0.0556,0.0277,0.0157,
spoon,400,15,0.437,0.108,0.0756,0.0476,
bowl,400,64,0.447,0.359,0.31,0.208,
banana,400,52,0.318,0.231,0.184,0.0682,
apple,400,28,0.414,0.152,0.203,0.123,
sandwich,400,18,0.427,0.222,0.247,0.123,
orange,400,46,0.62,0.213,0.204,0.118,
broccoli,400,28,0.274,0.179,0.194,0.101,
carrot,400,49,0.32,0.0408,0.0514,0.0263,
hotdog,400,2,0.171,0.341,0.128,0.0401,
pizza,400,27,0.557,0.556,0.594,0.428,
donut,400,8,0.202,0.25,0.184,0.131,
cake,400,25,0.231,0.132,0.0821,0.0443,
chair,400,164,0.284,0.177,0.16,0.0835,
couch,400,19,0.405,0.368,0.411,0.262,
pottedplant,400,18,0.458,0.377,0.263,0.146,
bed,400,5,0.361,0.8,0.74,0.554,
diningtable,400,44,0.406,0.386,0.331,0.182,
toilet,400,22,0.485,0.455,0.535,0.427,
tv,400,18,0.581,0.463,0.49,0.325,
laptop,400,16,0.374,0.375,0.43,0.384,
mouse,400,8,0.315,0.375,0.214,0.16,
remote,400,15,0.435,0.0667,0.0797,0.0261,
keyboard,400,8,0.272,0.5,0.438,0.303,
cellphone,400,23,0.417,0.217,0.275,0.213,
microwave,400,2,0.427,0.5,0.496,0.397,
oven,400,13,0.671,0.308,0.405,0.24,
toaster,400,1,1,0,0.199,0.0796,
sink,400,19,0.515,0.421,0.463,0.294,
refrigerator,400,7,0.294,0.362,0.388,0.329,
book,400,66,0.108,0.0152,0.0295,0.0143,
clock,400,20,0.365,0.45,0.401,0.146,
vase,400,35,0.304,0.0571,0.152,0.0861,
scissors,400,5,1,0,0.14,0.06,
teddybear,400,6,0.441,0.667,0.712,0.624,
toothbrush,400,15,1,0,0.0134,0.00502,
